,CoC,Year,Organization Name,Project Name,Project Type,Bed Type,Geo Code,Inventory Type,Total Year Round Beds,Total Seasonal Beds,PIT Count,Total Beds,State,County
913,CA-604,2012,Alliance Ag. Family Violence,Transitional Housing Project,TH,F,60228,N,16,,16.0,16,CA,Bakersfield
914,CA-604,2012,Alliance Ag. Family Violence,Transitional Housing Rehabilitation,TH,F,60228,U,18,,,18,CA,Bakersfield
915,CA-604,2012,Alliance Ag. Family Violence,Women's & Children's Shelter,ES,F,60228,C,16,0.0,16.0,16,CA,Bakersfield
916,CA-604,2012,ALPHA House,Women's & Children's Shelter,ES,F,69029,C,8,0.0,3.0,13,CA,Kern County
917,CA-604,2012,Bakersfield AIDS Project,Ricky's Retreat,TH,F,60228,C,6,,3.0,6,CA,Bakersfield
918,CA-604,2012,Bakersfield Homeless Center,HPRP Homeless Assistance Program - City,HPRP,,60228,C,78,,78.0,78,CA,Bakersfield
919,CA-604,2012,Bakersfield Homeless Center,HPRP Homeless Assistance Program - County,HPRP,,69029,C,259,,259.0,259,CA,Kern County
920,CA-604,2012,Bakersfield Rescue Mission,HIS Center,ES,F,60228,C,150,0.0,165.0,198,CA,Bakersfield
921,CA-604,2012,Bakersfield Rescue Mission,HIS Center,ES,F,60228,N,50,,50.0,50,CA,Bakersfield
922,CA-604,2012,Bakersfield Rescue Mission,Men's Residential,TH,F,60228,C,32,,29.0,32,CA,Bakersfield
923,CA-604,2012,Bakersfield Rescue Mission,Women's Residential,TH,F,60228,C,44,,22.0,44,CA,Bakersfield
924,CA-604,2012,Bethany Services,Family Shelter,ES,F,60228,C,152,0.0,96.0,177,CA,Bakersfield
925,CA-604,2012,Bethany Services,Men's Dormitory,ES,F,60228,C,14,0.0,2.0,14,CA,Bakersfield
926,CA-604,2012,Bethany Services,Women's Dormitory,ES,F,60228,C,40,0.0,33.0,44,CA,Bakersfield
927,CA-604,2012,California Veteran's Assistance Foundation,GPD - Veteran's Haven,TH,F,60228,C,42,,38.0,42,CA,Bakersfield
928,CA-604,2012,California Veteran's Assistance Foundation,GPD-Step-Up,TH,F,60228,C,9,,7.0,9,CA,Bakersfield
929,CA-604,2012,California Veteran's Assistance Foundation,Rally Point,PSH,,60228,U,14,,,14,CA,Bakersfield
930,CA-604,2012,City of Delano,Delano Domestic Violence Shelter,ES,F,60960,U,24,,,24,CA,Delano City
931,CA-604,2012,Clinica Sierra Vista,Clinica Sierra Vista/Griffin's Gate Transitional Housing,TH,F,60228,N,16,,4.0,16,CA,Bakersfield
932,CA-604,2012,Clinica Sierra Vista,Clinica Sierra Vista/Griffin's Gate Transitional Housing,TH,F,60228,C,8,,0.0,8,CA,Bakersfield
933,CA-604,2012,Clinica Sierra Vista,HIV/AIDS Homeless Project,PSH,,60228,C,12,,10.0,12,CA,Bakersfield
934,CA-604,2012,Golden Empire Affordable Housing,Haven Cottages,PSH,,60228,N,23,,21.0,23,CA,Bakersfield
935,CA-604,2012,Golden Empire Affordable Housing,Residences at West Columbus,PSH,,60228,U,20,,,20,CA,Bakersfield
936,CA-604,2012,Great Spirit Lodge,Veterans's Transitional,TH,F,60228,N,6,,2.0,6,CA,Bakersfield
937,CA-604,2012,Hearthstone Community Services,HUD 2009 Permanent Housing,PSH,,60228,N,36,,34.0,36,CA,Bakersfield
938,CA-604,2012,Housing Authority of the County of Kern,2003 TB/S+C,PSH,,60228,C,71,,71.0,71,CA,Bakersfield
939,CA-604,2012,Housing Authority of the County of Kern,Casa Nueva S+C,PSH,,60228,N,49,,9.0,49,CA,Bakersfield
940,CA-604,2012,Housing Authority of the County of Kern,Casa Nueva S+C Bonus,PSH,,60228,N,12,,0.0,12,CA,Bakersfield
941,CA-604,2012,Housing Authority of the County of Kern,Dulce Hogar TB/S+C,PSH,,60228,C,82,,91.0,82,CA,Bakersfield
942,CA-604,2012,Housing Authority of the County of Kern,Family Transitional,TH,F,60228,C,24,,25.0,24,CA,Bakersfield
943,CA-604,2012,Housing Authority of the County of Kern,Green Gardens Apts. S+C/SRO,PSH,,60228,C,90,,85.0,90,CA,Bakersfield
944,CA-604,2012,Housing Authority of the County of Kern,Homeless Voucher Program,PSH,,60228,C,220,,254.0,220,CA,Bakersfield
945,CA-604,2012,Housing Authority of the County of Kern,Lugar de Refugio,PSH,,60228,U,54,,,54,CA,Bakersfield
946,CA-604,2012,Housing Authority of the County of Kern,Lugar de Refugio Bonus,PSH,,60228,U,17,,,17,CA,Bakersfield
947,CA-604,2012,Housing Authority of the County of Kern,Mas Hogares TB/S+C,PSH,,60228,C,57,,59.0,57,CA,Bakersfield
948,CA-604,2012,Housing Authority of the County of Kern,VASH Voucher Program,PSH,,60228,C,51,,61.0,51,CA,Bakersfield
949,CA-604,2012,Housing Authority of the County of Kern,VASH Voucher Program #2,PSH,,60228,C,37,,40.0,37,CA,Bakersfield
950,CA-604,2012,Housing Authority of the County of Kern,VASH Voucher Program #3,PSH,,60228,N,37,,7.0,37,CA,Bakersfield
951,CA-604,2012,Kern County Mental Health,Kern Linkage Program,PSH,,60228,N,15,,15.0,15,CA,Bakersfield
952,CA-604,2012,Kern County Mental Health,Kern Linkage Program,PSH,,60228,C,21,,21.0,21,CA,Bakersfield
953,CA-604,2012,Women's Center - High Desert,Transitional Housing Program,TH,F,69029,C,18,,5.0,18,CA,Kern County
954,CA-604,2012,Women's Center - High Desert,Women's & Children's Shelter,ES,F,69029,C,34,0.0,3.0,34,CA,Kern County
955,CA-519,2012,Butte County Department of Behavioral Health,Cameo Apartments,PSH,,60684,C,8,,8.0,8,CA,Chico
956,CA-519,2012,Butte County Department of Behavioral Health,LINK Permanent Housing Bonus,PSH,,69007,U,3,,,3,CA,Butte County
957,CA-519,2012,Butte County Department of Behavioral Health,MHSA Master Lease Program,PSH,,60684,C,9,,4.0,9,CA,Chico
958,CA-519,2012,Butte County Department of Behavioral Health,MHSA Master Lease Program - Oroville,PSH,,69007,C,4,,3.0,4,CA,Butte County
959,CA-519,2012,Butte County Department of Behavioral Health,SEARCH II - SHP,PSH,,69007,C,5,,5.0,5,CA,Butte County
960,CA-519,2012,Butte County Department of Behavioral Health,SEARCH II Permanent Housing Bonus,PSH,,69007,C,3,,3.0,3,CA,Butte County
961,CA-519,2012,Butte County Department of Behavioral Health,SEARCH III,PSH,,69007,U,3,,,3,CA,Butte County
962,CA-519,2012,Butte County Department of Behavioral Health,Search South - SHP,PSH,,69007,C,4,,4.0,4,CA,Butte County
963,CA-519,2012,Caminar,Avenida House,PSH,,60684,C,16,,13.0,16,CA,Chico
964,CA-519,2012,Catalyst Domestic Violence Services,Catalyst Transitional Housing Cottage Program,TH,F,60684,C,8,,6.0,8,CA,Chico
965,CA-519,2012,Catalyst Domestic Violence Services,Women's DV Shelter,ES,F,60684,C,22,,26.0,22,CA,Chico
966,CA-519,2012,Chico Community Shelter Partnership,Torres Shelter,ES,F,60684,C,120,0.0,73.0,120,CA,Chico
967,CA-519,2012,Community Action Agency of Butte County Inc.,Esplanade House PH - Phase 2,PSH,,60684,C,46,,40.0,46,CA,Chico
968,CA-519,2012,Community Action Agency of Butte County Inc.,Esplanade House PH - Phase 2 (Non HUD Funded),PSH,,60684,C,12,,2.0,12,CA,Chico
969,CA-519,2012,Community Action Agency of Butte County Inc.,Esplanade House TH - Phase 1,TH,F,60684,C,49,,35.0,49,CA,Chico
970,CA-519,2012,Community Action Agency of Butte County Inc.,Esplanade House TH - Phase 1(non-HUD funded),TH,F,60684,C,41,,35.0,41,CA,Chico
971,CA-519,2012,Housing Authority of Butte County,Esplanade House / 10 units / Shelter Plus Care,PSH,,60684,C,36,,35.0,36,CA,Chico
972,CA-519,2012,Housing Authority of Butte County,Esplanade House / 3 units / Shelter Plus Care,PSH,,60684,C,9,,10.0,9,CA,Chico
973,CA-519,2012,Housing Authority of Butte County,HUD-VASH,PSH,,69007,C,65,,54.0,65,CA,Butte County
974,CA-519,2012,Housing Authority of Butte County,Search South - SPC,PSH,,69007,C,5,,5.0,5,CA,Butte County
975,CA-519,2012,Jesus Center,Sabbath House,ES,F,60684,C,21,0.0,25.0,21,CA,Chico
976,CA-519,2012,Northern Valley Catholic Service,Hartford Place,PSH,,60684,C,4,,4.0,4,CA,Chico
977,CA-519,2012,Northern Valley Catholic Service,Jarvis Gardens,PSH,,60684,C,5,,5.0,5,CA,Chico
978,CA-519,2012,Orchard House,Orchard House,TH,F,60684,C,6,,6.0,6,CA,Chico
979,CA-519,2012,Oroville Rescue Mission,Men's Shelter Women and Children's Shelter,ES,F,69007,C,67,0.0,71.0,67,CA,Butte County
980,CA-519,2012,Veterans Executive Corporation to Organize Rehabilitative Services (VECTORS),Jerry L Knight Residential,TH,F,60684,C,15,,15.0,15,CA,Chico
981,CA-519,2012,Well Ministry The,Sober Living (for Homeless),TH,F,60684,C,11,,10.0,11,CA,Chico
982,CA-519,2012,Well Ministry The,Sober Living (for Homeless) -DUP09 A,TH,F,60684,C,57,,55.0,57,CA,Chico
983,CA-523,2012,Alternatives to Violence,Battered Women's Shelter,ES,F,69103,C,15,0.0,4.0,15,CA,Tehama County
984,CA-523,2012,Glenn County HRA,Westside Domestic Violence Transitional Housing,TH,F,69021,U,14,,,14,CA,Glenn County
985,CA-523,2012,Human Response Network,Dom Vio Shelter,ES,F,69105,C,6,0.0,0.0,6,CA,Trinity County
986,CA-523,2012,Human Response Network,EMERGENCY Housing Shelter,ES,F,69105,C,6,0.0,7.0,7,CA,Trinity County
987,CA-523,2012,Human Response Network,Motel Voucher Assistance,ES,V,69105,C,2,,2.0,2,CA,Trinity County
988,CA-523,2012,Human Response Network,Transitional Housing,TH,F,69105,C,18,,13.0,18,CA,Trinity County
989,CA-523,2012,Lake County Community Action Agency,Transitional Housing Program,TH,F,69033,C,14,,0.0,14,CA,Lake County
990,CA-523,2012,Lake Family Resource Center,Lake FRC Freedom House,ES,F,69033,C,36,,25.0,36,CA,Lake County
991,CA-523,2012,MSHA Adult Outreach,MSHA Motel Vouchers,ES,V,69103,C,1,,1.0,1,CA,Tehama County
992,CA-523,2012,P.A.T.H.,Colusa Independence,TH,F,69011,C,19,,12.0,19,CA,Colusa County
993,CA-523,2012,P.A.T.H.,EMERGENCY Housing Shelter,ES,F,69103,C,0,28.0,35.0,35,CA,Tehama County
994,CA-523,2012,P.A.T.H.,PATH Sale House for Women,TH,F,69103,C,15,,15.0,15,CA,Tehama County
995,CA-523,2012,P.A.T.H.,Transitional Housing Shelter for Men,TH,F,69103,C,12,,11.0,12,CA,Tehama County
996,CA-523,2012,Plumas Crisis Intervention and Resource Center,Plumas County HPRP,ES,V,69063,C,2,,2.0,2,CA,Plumas County
997,CA-523,2012,Plumas Crisis Intervention and Resource Center,Probation/AB-109 Homeless Assistance,ES,V,69063,C,1,,1.0,1,CA,Plumas County
998,CA-523,2012,Plumas Crisis Intervention and Resource Center,Transitional Housing Program,TH,F,69063,C,42,,15.0,42,CA,Plumas County
999,CA-523,2012,Tehama County Veterans,Legacy House,TH,F,69103,C,6,,3.0,6,CA,Tehama County
1000,CA-523,2012,Trinity DHHS Homeless Program,Motel Voucher Assistance,ES,V,69105,C,3,,3.0,3,CA,Trinity County
1001,CA-523,2012,Unity in Recovery,Unity House,TH,F,69021,C,16,,15.0,16,CA,Glenn County
1002,CA-512,2012,City of Redwood City,Main Street Apartments,PSH,,62976,C,3,,3.0,3,CA,Redwood City
1003,CA-512,2012,City of Redwood City,Main Street Apartments Added Units,PSH,,62976,N,2,,2.0,2,CA,Redwood City
1004,CA-512,2012,Comm.Ov.Violence Abuse,Casa de Sor Juana Ines,TH,F,63312,C,25,,23.0,25,CA,San Mateo
1005,CA-512,2012,Comm.Ov.Violence Abuse,CORA Emergency Shelter,ES,F,63312,C,22,0.0,11.0,22,CA,San Mateo
1006,CA-512,2012,Home and Hope,Rotating Shelter,ES,F,69081,C,20,0.0,15.0,20,CA,San Mateo County
1007,CA-512,2012,Housing Authority of SM County,Family Unification Program Vouchers,PSH,,69081,C,9,,9.0,9,CA,San Mateo County
1008,CA-512,2012,Housing Authority of SM County,Housing Readiness Vouchers,PSH,,69081,C,154,,154.0,154,CA,San Mateo County
1009,CA-512,2012,Housing Authority of SM County,Shelter Plus Care SRA (SP2),PSH,,69081,C,64,,64.0,64,CA,San Mateo County
1010,CA-512,2012,Housing Authority of SM County,Shelter Plus Care TRA (SP 10),PSH,,69081,C,134,,134.0,134,CA,San Mateo County
1011,CA-512,2012,Housing Authority of SM County,Shelter Plus Care TRA (SP11),PSH,,69081,C,3,,3.0,3,CA,San Mateo County
1012,CA-512,2012,Housing Authority of SM County,Shelter Plus Care TRA (SP12),PSH,,69081,C,3,,1.0,3,CA,San Mateo County
1013,CA-512,2012,Housing Authority of SM County,Shelter Plus Care TRA (SP13),PSH,,69081,U,3,,,3,CA,San Mateo County
1014,CA-512,2012,Housing Authority of SM County,Shelter Plus Care TRA (SP9),PSH,,69081,C,5,,5.0,5,CA,San Mateo County
1015,CA-512,2012,Housing Authority of SM County,Supportive Housing Program (SHP3),PSH,,69081,C,38,,38.0,38,CA,San Mateo County
1016,CA-512,2012,Housing Authority of SM County,VASH Vouchers,PSH,,69081,C,41,,41.0,41,CA,San Mateo County
1017,CA-512,2012,Human Services Agency,CalWORKs Vouchers,ES,V,69081,C,3,0.0,3.0,3,CA,San Mateo County
1018,CA-512,2012,Mental Health Association,Belmont Apartments,PSH,,69081,C,24,,20.0,24,CA,San Mateo County
1019,CA-512,2012,Mental Health Association,Cedar Street Apartments,PSH,,62976,U,14,,,14,CA,Redwood City
1020,CA-512,2012,Mental Health Association,Spring Street Emergency Shelter,ES,F,62976,C,16,0.0,15.0,16,CA,Redwood City
1021,CA-512,2012,Mental Health Association,Spring Street Transitional Housing,TH,F,62976,C,7,,7.0,7,CA,Redwood City
1022,CA-512,2012,MidPen Housing,2000 Delaware,PSH,,63312,U,16,,,16,CA,San Mateo
1023,CA-512,2012,MidPen Housing,636 El Camino,PSH,,63564,U,20,,,20,CA,South San Francisco
1024,CA-512,2012,Project We H.O.P.E,We H.O.P.E Shelter,ES,F,63312,C,0,20.0,26.0,26,CA,San Mateo
1025,CA-512,2012,Samaritan House,Safe Harbor Emergency,ES,F,63564,C,30,0.0,34.0,39,CA,South San Francisco
1026,CA-512,2012,Samaritan House,Safe Harbor Transitional,TH,F,63564,C,60,,59.0,60,CA,South San Francisco
1027,CA-512,2012,San Mateo County Dept. of Housing,HPRP Program (County Funds),HPRP,,69081,C,14,,14.0,14,CA,San Mateo County
1028,CA-512,2012,Service League,Hope House for Men,TH,F,62976,C,6,,5.0,6,CA,Redwood City
1029,CA-512,2012,Shelter Network,Bridges,TH,V,69081,C,56,,58.0,56,CA,San Mateo County
1030,CA-512,2012,Shelter Network,Family Crossroads,TH,F,60930,C,56,,53.0,56,CA,Daly City
1031,CA-512,2012,Shelter Network,First Step for Families,TH,F,63312,C,156,,132.0,156,CA,San Mateo
1032,CA-512,2012,Shelter Network,Haven Family House,TH,F,69081,C,116,,83.0,116,CA,San Mateo County
1033,CA-512,2012,Shelter Network,HCHV/EH - Haven Family House,ES,F,69081,C,4,,6.0,4,CA,San Mateo County
1034,CA-512,2012,Shelter Network,HCHV/EH - Maple Street,ES,F,62976,C,10,,10.0,10,CA,Redwood City
1035,CA-512,2012,Shelter Network,Illinois Street/East Palo Alto,TH,F,69081,N,5,,4.0,5,CA,San Mateo County
1036,CA-512,2012,Shelter Network,Maple Street,TH,F,62976,C,65,,60.0,65,CA,Redwood City
1037,CA-512,2012,Shelter Network,Motel Voucher Program,ES,V,69081,C,30,0.0,31.0,30,CA,San Mateo County
1038,CA-512,2012,Shelter Network,Redwood Family House,TH,F,62976,C,36,,30.0,36,CA,Redwood City
1039,CA-512,2012,Shelter Network,South San Francisco PUSH,PSH,,63564,U,18,,,18,CA,South San Francisco
1040,CA-512,2012,Shelter Network,Vendome Hotel,PSH,,63312,C,11,,11.0,11,CA,San Mateo
1041,CA-512,2012,Shelter Network,Women's Transitional Housing,TH,F,69081,C,6,,7.0,6,CA,San Mateo County
1042,CA-512,2012,Telecare,MHSA Master Leasing 2011 Expansion,PSH,,69081,C,23,,23.0,23,CA,San Mateo County
1043,CA-512,2012,Telecare,MHSA Master Leasing 2012 Expansion,PSH,,69081,N,34,,34.0,34,CA,San Mateo County
1044,CA-512,2012,Telecare,MHSA PH Program (Master Leasing),PSH,,69081,C,15,,15.0,15,CA,San Mateo County
1045,CA-512,2012,Youth & Family Enrich.Srv,Day Break,TH,F,62976,C,10,,6.0,10,CA,Redwood City
1046,CA-512,2012,Youth & Family Enrich.Srv,Youth House South,ES,F,62976,C,6,,5.0,6,CA,Redwood City
1047,CA-521,2012,Community Housing Opportunities Corporation,Hotel Woodland,PSH,,64134,C,11,,3.0,11,CA,Woodland
1048,CA-521,2012,Davis Community Meals,Cesar Chavez Plaza,PSH,,60942,C,35,,35.0,35,CA,Davis
1049,CA-521,2012,Davis Community Meals,Cold Weather Shelter,ES,F,60942,C,0,10.0,10.0,10,CA,Davis
1050,CA-521,2012,Davis Community Meals,Emergency Shelter,ES,F,60942,C,2,0.0,3.0,3,CA,Davis
1051,CA-521,2012,Davis Community Meals,Family Transitional Housing Program,TH,F,60942,C,34,,14.0,34,CA,Davis
1052,CA-521,2012,Davis Community Meals,Transitional Housing for Men and Women,TH,F,60942,C,16,,7.0,16,CA,Davis
1053,CA-521,2012,Davis Community Meals,Transitional Housing Placement Plus,TH,F,60942,C,6,,6.0,6,CA,Davis
1054,CA-521,2012,EMQ Families First,Yolo Crisis Nursery,ES,F,60942,C,3,0.0,1.0,3,CA,Davis
1055,CA-521,2012,Interfaith Rotating Winter Shelter of Davis,Interfaith Rotating Winter Shelter,ES,O,60942,C,0,25.0,19.0,25,CA,Davis
1056,CA-521,2012,Sexual Assault and Domestic Violence Center,Wallace & Vannucci House,ES,F,69113,C,28,0.0,19.0,28,CA,Yolo County
1057,CA-521,2012,Turning Point Community Programs,Yolo LHSS,ES,V,69113,C,1,0.0,1.0,1,CA,Yolo County
1058,CA-521,2012,Turning Point Community Programs,Yolo LHSS,PSH,,64134,C,2,,2.0,2,CA,Woodland
1059,CA-521,2012,Turning Point Community Programs - YCH,Meadowlark,TH,F,69113,C,4,,2.0,4,CA,Yolo County
1060,CA-521,2012,Turning Point Community Programs - YCH,Trinity,TH,F,69113,C,4,,4.0,4,CA,Yolo County
1061,CA-521,2012,United Christian Centers,Emergency Shelter,ES,F,69113,U,42,,,42,CA,Yolo County
1062,CA-521,2012,United Christian Centers,Family Transitional Housing,TH,F,69113,C,37,,34.0,37,CA,Yolo County
1063,CA-521,2012,Yolo Community Care Continuum,Homestead,PSH,,60942,C,21,,17.0,21,CA,Davis
1064,CA-521,2012,Yolo Community Care Continuum,New Dimensions,PSH,,64134,C,24,,23.0,24,CA,Woodland
1065,CA-521,2012,Yolo Community Care Continuum,Safe Harbor,ES,F,64134,C,6,0.0,7.0,7,CA,Woodland
1066,CA-521,2012,Yolo Community Care Continuum,Supportive Housing Program,PSH,,64134,C,9,,6.0,9,CA,Woodland
1067,CA-521,2012,Yolo Family Resource Center,HPRP,HPRP,,69113,C,30,,30.0,30,CA,Yolo County
1068,CA-521,2012,Yolo Wayfarer Center,CH Families,PSH,,64134,N,10,,10.0,10,CA,Woodland
1069,CA-521,2012,Yolo Wayfarer Center,Emergency Shelter,ES,F,64134,C,50,0.0,39.0,50,CA,Woodland
