Geographic,State,NAME,FY 2021 PPRN
Code,,,
010072,AL,Anniston,"$175,647"
010144,AL,Auburn,"$204,713"
010216,AL,Bessemer,"$187,176"
010228,AL,Birmingham,"$5,146,323"
010594,AL,Decatur,"$153,090"
010624,AL,Dothan,"$159,356"
010810,AL,Florence,"$103,875"
010882,AL,Gadsden,"$335,087"
011218,AL,Huntsville,"$446,413"
011542,AL,Mobile,"$2,082,180"
011560,AL,Montgomery,"$1,457,176"
011740,AL,Opelika,"$86,142"
012268,AL,Tuscaloosa,"$260,914"
019001,AL,Autauga County,"$106,212"
019003,AL,Baldwin County,"$363,331"
019005,AL,Barbour County,"$88,261"
019007,AL,Bibb County,"$50,476"
019009,AL,Blount County,"$131,505"
019011,AL,Bullock County,"$45,829"
019013,AL,Butler County,"$80,893"
019015,AL,Calhoun County,"$218,668"
Geographic,State,NAME,FY 2021 PPRN
Code,,,
019017,AL,Chambers County,"$151,452"
019019,AL,Cherokee County,"$68,775"
019021,AL,Chilton County,"$124,769"
019023,AL,Choctaw County,"$36,710"
019025,AL,Clarke County,"$75,987"
019027,AL,Clay County,"$56,847"
019029,AL,Cleburne County,"$52,409"
019031,AL,Coffee County,"$109,067"
019033,AL,Colbert County,"$170,220"
019035,AL,Conecuh County,"$42,520"
019037,AL,Coosa County,"$32,733"
019039,AL,Covington County,"$137,274"
019041,AL,Crenshaw County,"$50,447"
019043,AL,Cullman County,"$202,116"
019045,AL,Dale County,"$123,776"
019047,AL,Dallas County,"$192,230"
019049,AL,DeKalb County,"$212,447"
019051,AL,Elmore County,"$164,305"
019053,AL,Escambia County,"$107,366"
019055,AL,Etowah County,"$160,383"
019057,AL,Fayette County,"$51,225"
019059,AL,Franklin County,"$106,864"
019061,AL,Geneva County,"$83,096"
019063,AL,Greene County,"$37,699"
019065,AL,Hale County,"$54,267"
019067,AL,Henry County,"$53,844"
019069,AL,Houston County,"$92,088"
019071,AL,Jackson County,"$142,524"
019073,AL,Jefferson County,"$2,081,279"
019075,AL,Lamar County,"$39,546"
019077,AL,Lauderdale County,"$112,743"
019079,AL,Lawrence County,"$77,814"
019081,AL,Lee County,"$168,917"
019083,AL,Limestone County,"$197,357"
019085,AL,Lowndes County,"$32,641"
019087,AL,Macon County,"$74,043"
019089,AL,Madison County,"$269,432"
019091,AL,Marengo County,"$58,841"
019093,AL,Marion County,"$77,454"
019095,AL,Marshall County,"$298,488"
Geographic,State,NAME,FY 2021 PPRN
Code,,,
019097,AL,Mobile County,"$1,398,282"
019099,AL,Monroe County,"$70,349"
019101,AL,Montgomery County,"$49,010"
019103,AL,Morgan County,"$129,926"
019105,AL,Perry County,"$39,946"
019107,AL,Pickens County,"$55,452"
019109,AL,Pike County,"$103,314"
019111,AL,Randolph County,"$93,638"
019113,AL,Russell County,"$185,222"
019115,AL,St. Clair County,"$157,875"
019117,AL,Shelby County,"$307,680"
019119,AL,Sumter County,"$43,570"
019121,AL,Talladega County,"$236,824"
019123,AL,Tallapoosa County,"$138,493"
019125,AL,Tuscaloosa County,"$220,022"
019127,AL,Walker County,"$193,431"
019129,AL,Washington County,"$49,079"
019131,AL,Wilcox County,"$40,850"
019133,AL,Winston County,"$54,772"
020078,AK,Anchorage,"$1,568,008"
029013,AK,Aleutians East Borough,"$6,395"
029016,AK,Aleutians West Census Area,"$8,258"
029050,AK,Bethel Census Area,"$71,826"
029060,AK,Bristol Bay Borough,"$4,989"
029068,AK,Denali Borough,"$4,250"
029070,AK,Dillingham Census Area,"$14,170"
029090,AK,Fairbanks North Star Borough,"$135,033"
029100,AK,Haines Borough,"$11,674"
029105,AK,Hoonah-Angoon Census Area,"$11,037"
029110,AK,Juneau City and Borough,"$93,811"
029122,AK,Kenai Peninsula Borough,"$90,323"
029130,AK,Ketchikan Gateway Borough,"$70,811"
029150,AK,Kodiak Island Borough,"$22,804"
029158,AK,Kusilvak Census Area,"$43,209"
029164,AK,Lake and Peninsula Borough,"$4,727"
029170,AK,Matanuska-Susitna Borough,"$152,109"
029180,AK,Nome Census Area,"$37,525"
029185,AK,North Slope Borough,"$22,679"
029188,AK,Northwest Arctic Borough,"$30,347"
029195,AK,Petersburg Borough,"$28,328"
Geographic,State,NAME,FY 2021 PPRN
Code,,,
029198,AK,Prince of Wales-Hyder Census Area,"$14,971"
029220,AK,Sitka City and Borough,"$26,429"
029230,AK,Skagway Municipality,"$10,381"
029240,AK,Southeast Fairbanks Census Area,"$13,423"
029261,AK,Valdez-Cordova Census Area,"$31,043"
029275,AK,Wrangell City and Borough,"$18,123"
029282,AK,Yakutat City and Borough,"$1,627"
029290,AK,Yukon-Koyukuk Census Area,"$20,224"
040018,AZ,Avondale City,"$229,958"
040054,AZ,Casa Grande,"$138,169"
040072,AZ,Chandler,"$457,648"
040114,AZ,Douglas City,"$54,729"
040144,AZ,Flagstaff,"$193,748"
040180,AZ,Gilbert,"$306,042"
040186,AZ,Glendale,"$2,135,459"
040270,AZ,Mesa,"$3,505,080"
040324,AZ,Peoria City,"$262,770"
040330,AZ,Phoenix,"$14,390,638"
040348,AZ,Prescott,"$80,929"
040384,AZ,Scottsdale,"$382,113"
040408,AZ,Sierra Vista City,"$86,149"
040456,AZ,Surprise City,"$205,985"
040468,AZ,Tempe,"$1,590,256"
040492,AZ,Tucson,"$4,829,562"
040558,AZ,Yuma,"$272,389"
049001,AZ,Apache County,"$297,914"
049003,AZ,Cochise County,"$398,189"
049005,AZ,Coconino County,"$214,313"
049007,AZ,Gila County,"$260,355"
049009,AZ,Graham County,"$115,869"
049011,AZ,Greenlee County,"$52,584"
049012,AZ,La Paz County,"$52,971"
049013,AZ,Maricopa County,"$2,764,132"
049015,AZ,Mohave County,"$489,914"
049017,AZ,Navajo County,"$361,053"
049019,AZ,Pima County,"$2,561,507"
049021,AZ,Pinal County,"$583,021"
049023,AZ,Santa Cruz County,"$157,063"
049025,AZ,Yavapai County,"$378,836"
049027,AZ,Yuma County,"$318,427"
Geographic,State,NAME,FY 2021 PPRN
Code,,,
050600,AR,Conway,"$145,327"
050894,AR,Fayetteville,"$235,062"
050930,AR,Fort Smith,"$286,006"
051302,AR,Hot Springs,"$137,250"
051374,AR,Jacksonville,"$66,800"
051410,AR,Jonesboro,"$195,321"
051560,AR,Little Rock,"$1,288,081"
051938,AR,North Little Rock,"$218,954"
052130,AR,Pine Bluff,"$221,661"
052304,AR,Rogers,"$145,483"
052466,AR,Springdale,"$257,709"
052556,AR,Texarkana,"$88,902"
052754,AR,West Memphis,"$100,499"
059001,AR,Arkansas County,"$71,239"
059003,AR,Ashley County,"$63,843"
059005,AR,Baxter County,"$88,101"
059007,AR,Benton County,"$371,763"
059009,AR,Boone County,"$126,015"
059011,AR,Bradley County,"$40,101"
059013,AR,Calhoun County,"$14,825"
