State full name,Total Senate,Senate Dem,senate_dem_pct,Total House,House Dem,house_dem_pct,governer_party_2020
Alabama,35.00,8,0.2285714286,105,28,0.2666666667,1
Alaska,20,7,0.35,40,15,0.375,1
Arizona,30,13,0.4333333333,60,29,0.4833333333,1
Arkansas,35,9,0.2571428571,100,24,0.24,1
California,40,29,0.725,80,61,0.7625,0
Colorado,35,19,0.5428571429,65,41,0.6307692308,0
Connecticut,36,22,0.6111111111,151,91,0.6026490066,0
Delaware,21,12,0.5714285714,41,26,0.6341463415,0
District of Columbia,,,,,,,
Florida,40,17,0.425,120,47,0.3916666667,1
Georgia,56,21,0.375,180,75,0.4166666667,1
Hawaii,25,24,0.96,51,46,0.9019607843,0
Idaho,35,7,0.2,70,14,0.2,1
Illinois,59,40,0.6779661017,118,74,0.6271186441,0
Indiana,50,10,0.2,100,33,0.33,1
Iowa,50,18,0.36,100,47,0.47,1
Kansas,40,11,0.275,125,41,0.328,0
Kentucky,38,9,0.2368421053,100,38,0.38,0
Louisiana,39,12,0.3076923077,105,35,0.3333333333,0
Maine,35,21,0.6,151,88,0.582781457,0
Maryland,47,32,0.6808510638,141,98,0.695035461,1
Massachusetts,40,34,0.85,160,126,0.7875,1
Michigan,38,16,0.4210526316,110,52,0.4727272727,0
Minnesota,67,32,0.4776119403,134,75,0.5597014925,0
Mississippi,52,16,0.3076923077,122,46,0.3770491803,1
Missouri,34,8,0.2352941176,163,48,0.2944785276,1
Montana,50,20,0.4,100,42,0.42,0
Nebraska,49,17,0.3469387755,,,,1
Nevada,21,13,0.619047619,42,28,0.6666666667,0
New Hampshire,24,14,0.5833333333,400,234,0.585,1
New Jersey,49,25,0.5102040816,80,52,0.65,0
New Mexico,42,26,0.619047619,70,46,0.6571428571,0
New York,63,40,0.6349206349,150,104,0.6933333333,0
North Carolina,50,21,0.42,120,55,0.4583333333,0
North Dakota,47,10,0.2127659574,94,15,0.1595744681,1
Ohio,33,9,0.2727272727,99,38,0.3838383838,1
Oklahoma,48,9,0.1875,101,23,0.2277227723,1
Oregon,30,18,0.6,60,37,0.6166666667,0
Pennsylvania,50,21,0.42,203,93,0.4581280788,0
Puerto Rico,,,,,,,0
Rhode Island,38,33,0.8684210526,75,66,0.88,0
South Carolina,46,19,0.4130434783,124,44,0.3548387097,1
South Dakota,35,5,0.1428571429,70,11,0.1571428571,1
Tennessee,33,5,0.1515151515,99,26,0.2626262626,1
Texas,31,12,0.3870967742,150,66,0.44,1
Utah,29,6,0.2068965517,75,16,0.2133333333,1
Vermont,30,22,0.7333333333,150,94,0.6266666667,1
Virginia,40,21,0.525,100,55,0.55,0
Washington,49,29,0.5918367347,98,57,0.5816326531,0
West Virginia,34,14,0.4117647059,100,41,0.41,1
Wisconsin,33,14,0.4242424242,99,36,0.3636363636,0
Wyoming,30,3,0.1,60,9,0.15,1
